System,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,json in csv file,Link,Citations,Inclusion criteria,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training cost (2020 USD),Compute Sponsor Categorization
,Recommendation,,University of Washington,Industry - Academia Collaboration,"G. Linden, B. Smith, and J. York",01/01/2003,2003,Amazon.com Recommendations: Item-to-Item Collaborative Filtering,https://ieeexplore.ieee.org/document/1167344,7.26E+03,Highly cited,,,,,,,,,,,,,,Industry
LDA,Language,Document classification,"University of California, Stanford University",Academia,"David M. Blei, Andrew Y. Ng, Michael I. Jordan",02/02/2003,2003,Latent Dirichlet Allocation,https://jmlr.org/papers/volume3/blei03a/blei03a.pdf,3.87E+04,Highly cited,,,,,,,,,,,,,,Academia
NPLM,Language,Text autocompletion,Université de Montréal,Academia,"Yoshua Bengio, Réjean Ducharme, Pascal Vincent, Christian Jauvin",15/03/2003,2003,A Neural Probabilistic Language Model,https://dl.acm.org/doi/10.5555/944919.944966,7.63E+03,Highly cited,1.19E+07,1.3E+15,Brown corpus,1.00E+06,,2.17E+07,20160,,,,,,,Academia
Phrase-based translation,Language,Translation,University of Southern California,Academia,"Philipp Koehn, Franz Josef Och, Daniel Marcu",05/2003,2003,Statistical Phrase-Based Translation,https://dl.acm.org/doi/10.3115/1073445.1073462,4.27E+03,Highly cited,9.18E+06,,,2.00E+07,,,,,,,,,,Academia
CNN Best Practices,Vision,Character recognition,One Microsoft Way,Industry,"PY Simard, D Steinkraus, JC Platt",06/08/2003,2003,Best practices for convolutional neural networks applied to visual document analysis,https://ieeexplore.ieee.org/document/1227801,3.07E+03,Highly cited,,,MNIST,5.00E+04,,,,,,,,,,Industry
,Language,Word sense disambiguation,University of Sussex,Academia,"D McCarthy, R Koeling, J Weeds",07/2004,2004,Finding Predominant Word Senses in Untagged Text,https://aclanthology.org/P04-1036/,4.75E+02,,,,,5.00E+03,,,,,,,,,,Academia
Sandstorm (DARPA Grand Challenge I),Driving,Self-driving car,Carnegie Mellon University,Academia,William Red L. Whittaker,06/2004,2004,DARPA Grand Challenge Technical Paper,https://ieeexplore.ieee.org/document/1336386,6.60E+01,,,,,,,,,,,,,,,Academia
,,,Stanford University,Academia,"B. Taskar, C. Guestrin, and D. Koller",03/2004,2004,Max-margin markov networks,https://papers.nips.cc/paper/2003/file/878d5691c824ee2aaf770f7d36c151d6-Paper.pdf,1.76E+03,Highly cited,,,,6.00E+02,,,,,,,,,,Academia
,,,Soongsil University,Academia,"KS Oh, K Jung",01/06/2004,2004,GPU implementation of neural networks,https://www.sciencedirect.com/science/article/pii/S0031320304000524,4.71E+02,,,,,,,,,,,,,,,Academia
LIRA,Vision,Character recognition,Instituto de Ciencias Aplicadas y Technologia,Academia,"E Kussul, T Baidyk",30/07/2004,2004,Improved method of handwritten digit recognition tested on MNIST database,https://www.sciencedirect.com/science/article/abs/pii/S0262885604000721,1.88E+02,,1.00E+05,,,1.00E+04,1,,45,500,,,,,,Academia
Hiero,Language,Translation,"University of Maryland, College Park",Academia,David Chiang,01/06/2005,2005,A Hierarchical Phrase-Based Model for Statistical Machine Translation,https://aclanthology.org/P05-1033/,1.49E+03,Highly cited,1.20E+08,,,1.71E+08,,,,,,,,,,Academia
Stanley /DARPA Grand Challenge 2),Driving,Self-driving car,Stanford University,Industry - Academia Collaboration,"S Thrun, M Montemerlo, H Dahlkamp",01/01/2006,2006,Stanley: The Robot that Wonthe DARPA Grand Challenge,https://www.researchgate.net/publication/220648006_Stanley_The_robot_that_won_the_DARPA_Grand_Challenge,2.56E+03,Highly cited,,,,,,,,,,,,,,Industry
,,,University of the Balearic Islands and CMLA,Academia,"A Buades, B Coll, JM Morel",20/06/2005,2005,A non-local algorithm for image denoising,http://www.iro.umontreal.ca/~mignotte/IFT6150/Articles/Buades-NonLocal.pdf,6.87E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,,New York University,Academia,"S Chopra, R Hadsell, Y LeCun",20/06/2005,2005,"Learning a similarity metric discriminatively, with application to face verification",https://ieeexplore.ieee.org/document/1467314,3.05E+03,Highly cited,,,,1.40E+05,,,,,,,,,,Academia
SACHS,Other,,MIT and Stanford,Academia,"K. Sachs, O. Perez, D. Pe'er, D. A. Lauffenburger and G. P. Nolan",22/04/2005,2005,Causal Protein-Signaling Networks Derived from Multiparameter Single-Cell Data.,https://science.sciencemag.org/content/308/5721/523.long,1.68E+03,Highly cited,1.78E+02,,,5.40E+03,,,,,,,,,,Academia
,Vision,,Inria Grenoble Rhône-Alpes,Academia,"N Dalal, B Triggs",25/06/2005,2005,Histograms of oriented gradients for human detection,https://ieeexplore.ieee.org/document/1467360,3.66E+04,Highly cited,,,,1.81E+03,,,,,,,,,,Academia
BiLSTM for Speech,Speech,Speech recognition,IDSIA and TU Munich,Academia,"A Graves, J Schmidhuber",01/08/2005,2005,Framewise phoneme classification with bidirectional LSTM and other neural network architectures,https://www.sciencedirect.com/science/article/abs/pii/S0893608005001206,3.39E+03,Highly cited,1.52E+05,2.4E+13,TIMIT,4.16E+04,,,,,,,,,,Academia
,Vision,,NYU,Academia,"M Ranzato, C Poultney, S Chopra, Y Cun",04/12/2006,2006,Efficient Learning of Sparse Representations with an Energy-Based Model.,https://papers.nips.cc/paper/2006/hash/87f4d79e36d68c3031ccf6c55e9bbd39-Abstract.html,1.60E+03,Highly cited,,,MNIST,6.00E+04,,,,,,,,,,Academia
,Language,,Stanford University,Academia,"Rion Snow, Dan Jurafsky, and Andrew Y. Ng",07/2006,2006,Semantic Taxonomy Induction from Heterogenous Evidence,https://www.aclweb.org/anthology/P06-1101/,5.71E+02,,1.00E+02,,,8.51E+05,,,,,,,,,,Academia
FAST,Vision,Corner detection,University of Cambridge,Academia,Edward Rosten and Tom Drummond,07/05/2006,2006,Machine Learning for High-Speed Corner Detection,https://link.springer.com/chapter/10.1007/11744023_34,5.42E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,,"University of Illinois, INRIA, Ecole Normale",Academia,"S Lazebnik, C Schmid, J Ponce",17/06/2006,2006,Beyond Bags of Features: Spatial Pyramid Matching for Recognizing Natural Scene Categories,https://inc.ucsd.edu/mplab/users/marni/Igert/Lazebnik_06.pdf,9.81E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,"CRAN, CENPARMI",Academia,"Fabian Lauer, Ching Y Suen, Gerard Bloch",02/02/2006,2006,A trainable feature extractor for handwritten digit recognition,https://hal.archives-ouvertes.fr/hal-00018426/en,3.47E+02,,,,,,,,,,,,,,,Academia
DrLIM,Vision,Image embedding,New York University,Academia,R. Hadsell; S. Chopra; Y. LeCun,17/06/2006,2006,Dimensionality Reduction by Learning an Invariant Mapping,https://ieeexplore.ieee.org/document/1640964,2.69E+03,Highly cited,3.71E+04,,,2.17E+05,,,,,,,,,,Academia
CTC-Trained LSTM,Speech,Speech recognition,"IDSIA, TUM",Academia,"Alex Graves, Santiago Fernández, Faustino Gómez, Jürgen Schmidhuber",25/06/2006,2006,Connectionist Temporal Classification: Labelling Unsegmented Sequence Data with Recurrent Neural Networks,https://www.cs.toronto.edu/~graves/icml_2006.pdf,3.29E+03,Highly cited,1.15E+05,,TIMIT,4.16E+04,,,,,,,,,,Academia
DImensionality Reduction,Vision,Face recognition,University of Toronto,Academia,"GE Hinton, RR Salakhutdinov",18/07/2006,2006,Reducing the dimensionality of data with neural networks.,https://www.cs.toronto.edu/~hinton/science.pdf,1.57E+04,Highly cited,3.80E+06,,,7.00E+04,,,,,,,,,,Academia
Deep Belief Nets,Vision,Character recognition,"University of Toronto, NUS",Academia,"GE Hinton, S Osindero, YW Teh",18/07/2006,2006,A fast learning algorithm for deep belief nets,https://www.cs.toronto.edu/~hinton/absps/fastnc.pdf,1.61E+04,Highly cited,1.60E+06,,MNIST,6.00E+04,,,,,,,,,,Academia
,,,"Machine Vision group, Finland",Academia,"Timo Ahonen, Abdenour Hadid, and Matti Pietikainen",12/2006,2006,Face Description with Local Binary Patterns: Application to Face Recognition,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.456.1094&rep=rep1&type=pdf,3.11E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,,"University of Bern, IDSIA, TU Munich",Academia,"M Liwicki, A Graves, S Fernàndez",23/09/2007,2007,A Novel Approach to On-Line Handwriting Recognition Based on Bidirectional Long Short-Term Memory Networks,https://people.idsia.ch//~juergen/icdar_2007.pdf,2.53E+02,,,,,,,,,,,,,,,Academia
,,,University of Montreal,Academia,"Y Bengio, P Lamblin, D Popovici",04/12/2006,2006,Greedy layer-wise training of deep networks,https://dl.acm.org/doi/10.5555/2976456.2976476,5.61E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,"NEC Laboratories, Google Zurich",Industry,"L Bottou, O Bousquet",03/12/2007,2007,The Tradeoffs of Large Scale Learning,https://dl.acm.org/doi/10.5555/2981562.2981583,1.70E+03,Highly cited,,,,,,,,,,,,,,Industry
Boss (DARPA Urban Challenge),Driving,Self-driving car,Carnegie Mellon University,Industry - Academia Collaboration,"Chris Urmson, Joshua Anhalt, Drew Bagnell,Christopher Baker, Robert Bittner,M. N. Clark, John Dolan, Dave Duggins,Tugrul Galatali, Chris Geyer,Michele Gittleman, Sam Harbaugh,Martial Hebert, Thomas M. Howard,Sascha Kolski, Alonzo Kelly,Maxim Likhachev, Matt McNaughton,Nick Miller, Kevin Peterson, Brian Pilnick,Raj Rajkumar, Paul Rybski, Bryan Salesky,Young-Woo Seo, Sanjiv Singh, Jarrod Snider,Anthony Stentz, William “Red” Whittaker,Ziv Wolkowicki, and Jason Ziglar",23/07/2008,2008,Autonomous Driving in UrbanEnvironments: Boss and theUrban Challenge,https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.20255,1.84E+03,Highly cited,,,,,,,,,,,,,,Industry
,Recommendation,,AT&T Labs,Industry,"RM Bell, Y Koren",28/10/2007,2007,Scalable Collaborative Filtering with Jointly Derived Neighborhood Interpolation Weights,http://brettb.net/project/papers/2007%20Scalable%20collaborative%20filtering%20with%20jointly%20derived%20neighborhood%20interpolation%20weights.pdf,6.87E+02,,,,,,,,,,,,,,,Industry
BellKor 2007,Recommendation,Movie ratings,AT&T Labs,Industry,"RM Bell, Y Koren, C Volinsky",21/09/2009,2009,The BellKor solution to the Netflix Prize,https://www.semanticscholar.org/paper/The-BellKor-solution-to-the-Netflix-Prize-Bell-Koren/f4ebb542c752a0dc423f94fd121e2edb8f6275ba,2.14E+02,,,,Netflix Prize,1.00E+08,,,,,,,,,,Industry
,Language,,University of Edinburgh,Academia,"Philipp Koehn, Hieu Hoang, Alexandra Birch, Chris Callison-Burch",06/2007,2007,Moses: Open Source Toolkit for Statistical Machine Translation,https://aclanthology.org/P07-2045.pdf,6.10E+03,Highly cited,,,,,,,,,,,,,,Academia
λ-WASP,Language,,UT Austin,Academia,"YW Wong, R Mooney",06/2007,2007,Learning Synchronous Grammars for Semantic Parsing with Lambda Calculus,https://www.aclweb.org/anthology/P07-1121/,3.50E+02,,4.90E+05,,,7.92E+02,,,,,,,,,,Academia
,,,University of Montreal,Academia,"Hugo Larechelle, Dumithru Erhan, Aaron C Courville, James Bergsta, Yoshua Bengio",01/06/2007,2007,An empirical evaluation of deep architectures on problems with many factors of variation,https://dl.acm.org/doi/10.1145/1273496.1273556,1.12E+03,,,,,,,,,,,,,,,Academia
Restricted Bolzmann machines,Recommendation,,University of Toronto,Academia,"Russ Salukhutdinov, Andriy Mnih, GE Hinton",20/06/2007,2007,Restricted Boltzmann machines for collaborative filtering,https://dl.acm.org/doi/abs/10.1145/1273496.1273596?casa_token=cfdkH2x12MwAAAAA:sEUzfllIGyPcOfzgUoDPHlpC1ukfCAo8ewocBXWBswIIF9eS5HdFo30nOtfmIV8gm-XpBpQJJ5zYVO8,2.14E+03,,,,Netflix Prize,1.00E+08,,,,,,,,,,Academia
,Recommendation,,Warsaw University,Academia,A Paterek,12/08/2007,2007,Improving regularized singular value decomposition for collaborative filtering,https://www.semanticscholar.org/paper/Improving-regularized-singular-value-decomposition-Paterek/f732d0f69fe4e84a95c32706b28b9e4ef1753c61,1.12E+03,Highly cited,,,Netflix Prize,1.00E+08,,,,,,,,,,Academia
BLSTM,Vision,Character recognition,"University of Bern, IDSIA, TU Munich",Academia,"Alex Graves, Marcus Liwicki, Horst Bunke, Jürgen Schmidhuber, Santiago Fernández",12/2007,2007,Unconstrained online handwriting recognition with recurrent neural networks,https://proceedings.neurips.cc/paper/2007/hash/4b0250793549726d5c1ea3906726ebfe-Abstract.html,3.11E+02,,1.01E+05,,,,,,,,,,,,,Academia
Denoising Autoencoders,,,University of Montreal,Academia,"Pascal Vincent, Hugo Larechelle, Yoshua Bengio, Pierre- Antoine Manzagol",05/07/2008,2008,Extracting and Composing Robust Features with Denoising Autoencoders,https://dl.acm.org/doi/10.1145/1390156.1390294,6.30E+03,,,,,,,,,,,,,,,Academia
,,,"Google, NUANCE Communications, UIUC, IDIAP",Industry - Academia Collaboration,"Jason Weston, Frederick, Ratle, Hossein Mobahi, Ronan Collobert",05/07/2008,2008,Deep Learning via Semi-Supervised Embedding,https://dl.acm.org/doi/10.1145/1390156.1390303,1.09E+03,,,,,,,,,,,,,,,Industry
,Vision,,"University of Chicago & Toyota Technological Institute, Chicago & University of California, Irvine",Academia,"Pedro Felzenszwalb, David McAllester, Deva Ramanan",23/06/2008,2008,"A discriminatively trained, multiscale, deformable part model",https://ieeexplore.ieee.org/abstract/document/4587597,3.09E+03,Highly cited,,,,,,,,,,,,,,Academia
,Language,,NEC Laboratories,Industry,"R Collobert, J Weston",05/07/2008,2008,A unified architecture for natural language processing: Deep neural networks with multitask learning,https://dl.acm.org/doi/10.1145/1390156.1390177,5.76E+03,Highly cited,,,,6.31E+08,,,,,,,,,,Industry
Stacked Semisuperviser Autoencoders,Language,Document representation,New York University and Microsoft Research Cambridge,Industry - Academia Collaboration,"MA Ranzato, M Szummer",15/07/2008,2008,Semisupervised learning of compact document representations with deep networks,https://dl.acm.org/doi/10.1145/1390156.1390256,2.27E+02,,3.00E+06,,,6.61E+04,,,,,,,,,,Industry
,Vision,,"Univeristy of Lubeck, Germany",Academia,"Kai Labusch, Erhadt Barth, Thomas Martinetz",19/11/2008,2008,Simple method for high-performance digit recognition based on sparse coding,https://pubmed.ncbi.nlm.nih.gov/19000969/,1.24E+02,,,,,,,,,,,,,,,Academia
BigChaos 2008,Recommendation,Movie ratings,AT&T Labs,Industry,"A Töscher, M Jahrer",25/11/2008,2008,The BigChaos Solution to the Netflix Prize 2008,https://www.researchgate.net/publication/228419683_The_bigchaos_solution_to_the_netflix_prize_2008,3.50E+01,Historical relevance,,,Netflix Prize,1.00E+08,,,,,,,,,,Industry
Semantic Hashing,Other,,University of Toronto,Academia,"R Salakhutdinov, G Hinton",10/12/2008,2008,Semantic Hashing,https://www.cs.cmu.edu/~rsalakhu/papers/sdarticle.pdf,1.49E+03,Highly cited,2.60E+06,,,3.11E+05,,,,,,,,,,Academia
,Language,,"University of Edinburgh, University of Pittsburgh",Academia,"Theresa Wilson, Janyce Wiebe, Paul Hoffmann.",09/2009,2009,Recognizing Contextual Polarity: An Exploration of Features for Phrase-Level Sentiment Analysis,https://aclanthology.org/J09-3003.pdf,7.87E+02,,,,,1.11E+04,,,,,,,,,,Academia
,Recommendation,,"AT&T Labs, Yahoo Research",Industry,"Yehuda Koren, Robert Bell, and Chris Volinsky",07/08/2009,2009,Matrix factorization techniques for recommender systems,https://ieeexplore.ieee.org/document/5197422,8.91E+03,Highly cited,,,Netflix Prize,1.00E+08,,,,,,,,,,Industry
,3D reconstruction,,"University of Washington, Cornell, Microsoft Research",Industry - Academia Collaboration (Academia leaning),"Sameer Agarwal, Noah Snavely, Ian Simon, Steven M. Seitz and Richard Szeliski",29/09/2009,2009,Building Rome in a Day,https://grail.cs.washington.edu/rome/,2.20E+03,Highly cited,,,,,,,,,,,,,,Industry
,,,Stanford,Academia,"H Lee, R Grosse, R Ranganath, AY Ng",14/06/2009,2009,Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,https://dl.acm.org/doi/10.1145/1553374.1553453,2.96E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,"University of Montreal, Microsoft Research",Academia,Y Bengio,15/11/2009,2009,Learning deep architectures for AI,https://www.nowpublishers.com/article/Details/MAL-006,9.78E+03,Highly cited,,,,,,,,,,,,,,Academia
Deep Boltzmann Machines,,,University of Toronto,Academia,"Ruslan Salakhutdinov, Geoffrey Hinton",16/04/2009,2009,Deep Boltzmann Machines,https://www.sciencedirect.com/topics/computer-science/deep-boltzmann-machine,2.67E+03,Highly cited,,,,,,,,,,,,,,Academia
GPU DBNs,Other,,Stanford,Academia,"R Raina, A Madhavan, AY Ng",15/06/2009,2009,Large-scale Deep Unsupervised Learning using Graphics Processors,http://www.machinelearning.org/archive/icml2009/papers/218.pdf,7.89E+02,,1.00E+08,1.0E+15,,1.00E+06,,,,,,,,,,Academia
BellKor 2008,Recommendation,Movie ratings,AT&T Labs,Industry,"RM Bell, Y Koren, C Volinsky",1/8/2009,2009,The BellKor 2008 Solution to the Netflix Prize,https://www.researchgate.net/publication/228766792_The_BellKor_2008_solution_to_the_Netflix_Prize,1.58E+02,,,,Netflix Prize,1.00E+08,,,,,,,,,,Industry
RL mapping instructions,Reading,Instruction interpretation,MIT,Academia,"SRK Branavan, H Chen, LS Zettlemoyer, R Barzilay",08/2009,2009,Reinforcement Learning for Mapping Instructions to Actions,https://aclanthology.org/P09-1010/,2.53E+02,,1.33E+05,,Windows Help and Support,1.33E+03,,,,,,,,,,Academia
RL mapping instructions,Reading,Instruction interpretation,MIT,Academia,"SRK Branavan, H Chen, LS Zettlemoyer, R Barzilay",08/2009,2009,Reinforcement Learning for Mapping Instructions to Actions,https://aclanthology.org/P09-1010/,2.53E+02,,8.09E+04,,Windows Help and Support,2.93E+02,,,,,,,,,,Academia
,Recommendation,Movie ratings,AT&T Labs,Industry,Y Koren,08/2009,2009,The BellKor Solution to the Netflix Grand Prize,https://www2.seas.gwu.edu/~simhaweb/champalg/cf/papers/KorenBellKor2009.pdf,5.07E+02,,,,Netflix Prize,1.00E+08,,,,,,,,,,Industry
,Recommendation,Movie ratings,AT&T Labs,Industry,"A Töscher, M Jahrer, RM Bell",08/2009,2009,The BigChaos Solution to the Netflix Grand Prize,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/BigChaos.pdf,2.11E+02,,,,Netflix Prize,1.00E+08,,,,,,,,,,Industry
,Recommendation,Movie ratings,Pragmatic Theory Inc.,Industry,"M Piotte, M Chabbert",08/2009,2009,The Pragmatic Theory solution to the Netflix Grand Prize,https://www.asc.ohio-state.edu/statistics/statgen/joul_aut2009/PragmaticTheory.pdf,1.11E+02,,,,Netflix Prize,1.00E+08,,,,,,,,,,Industry
,Language,,University of Colorado & New Mexico State University,Academia,"Thomas K Landauer, Peter W. Foltz & Darrell Laham",11/11/2009,2009,An Introduction to Latent Semantic Analysis,https://www.tandfonline.com/doi/abs/10.1080/01638539809545028,6.42E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,University of Toronto,Academia,GE Hinton,02/08/2010,2010,A practical guide to training restricted boltzmann machines,https://link.springer.com/chapter/10.1007/978-3-642-35289-8_32,3.34E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,,"INRIA, Ecole, NYU",Academia,"YL Boureau, F Bach, Y LeCun",13/06/2010,2010,Learning mid-level features for recognition,https://ieeexplore.ieee.org/document/5539963,1.31E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,"University of Montreal, University of Toronto",Academia,"P Vincent, H Larochelle, I Lajoie, Y Bengio",03/01/2010,2010,Stacked denoising autoencoders: Learning useful representations in a deep network with a local denoising criterion,https://www.jmlr.org/papers/v11/vincent10a.html,6.23E+03,Highly cited,,,,,,,,,,,,,,Academia
,Vision,,Xerox Research Centre Europe (XRCE),Industry,Florent PerronninJorge SánchezThomas Mensink,05/09/2010,2010,Improving the Fisher Kernel for Large-Scale Image Classification,https://link.springer.com/chapter/10.1007/978-3-642-15561-1_11,3.06E+03,Highly cited,,,,,,,,,,,,,,Industry
6-layer MLP (MNIST),Vision,Character recognition,IDSIA ; University of Lugano & SUPSI,Academia,"Dan Claudiu Ciresan, Ueli Meier, Luca Maria Gambardella, Juergen Schmidhuber",01/03/2010,2010,Deep Big Simple Neural Nets Excel on Handwritten Digit Recognition,https://arxiv.org/abs/1003.0358,1.26E+03,Highly cited,1.21E+07,1.3E+14,MNIST,6.00E+04,,,,,,,,,,Academia
Feedforward NN,Vision,Digit recognition,University of Montreal,Academia,"X Glorot, Y Bengio",13/05/2010,2010,Understanding the difficulty of training deep feedforward neural networks,https://proceedings.mlr.press/v9/glorot10a.html,1.33E+04,Highly cited,7.08E+06,3.5E+14,MNIST,,,1.40E+07,,,,,,,,Academia
Word Representations,Language,,"University of Montreal, University of Illinois at Urbana- Champaigne",Academia,"Joseph Turian, Lev-Arie Ratinov, Yoshua Bengio",01/06/2010,2010,Word Representations: A Simple and General Method for Semi-Supervised Learning,https://aclanthology.org/P10-1040.pdf,2.51E+03,Highly cited,,,,3.70E+07,,,,,,,,,,Academia
Deconvolutional Network,Vision,,NYU,Academia,"Matthew D. Zeiler, Dilip Krishnan, Graham W. Taylor and Rob Fergus",13/06/2010,2010,Deconvolutional Networks,https://ieeexplore.ieee.org/document/5539957,1.52E+03,Highly cited,,,,,,,,,,,,,,Academia
ReLU (NORB),Vision,Object recognition,University of Toronto,Academia,"Nair, V., Hinton, G. E.",15/06/2010,2010,Rectified linear units improve restricted boltzmann machines,https://dl.acm.org/doi/10.5555/3104322.3104425,1.40E+04,Highly cited,1.62E+07,,,2.92E+05,,,,,,,,,,Academia
ReLU (LFW),Vision,Face recognition,University of Toronto,Academia,"Nair, V., Hinton, G. E.",15/06/2010,2010,Rectified linear units improve restricted boltzmann machines,https://dl.acm.org/doi/10.5555/3104322.3104425,1.40E+04,Highly cited,,,,,,,,,,,,,,Academia
RNN 500/10 + RT09 LM (NIST RT05),Speech,Transcription,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, M. Karafiat, L. Burget, J. Cernock ´ y, and S. Khudanpur",26/09/2010,2010,Recurrent neural network based language model.,https://www.researchgate.net/publication/221489926_Recurrent_neural_network_based_language_model,5.67E+03,Highly cited,5.27E+06,3.4E+15,NIST RT05,5.40E+06,,1.05E+07,,,,,,,,Academia
KN5 LM + RNN 400/10 (WSJ),Speech,Transcription,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, M. Karafiat, L. Burget, J. Cernock ´ y, and S. Khudanpur",26/09/2010,2010,Recurrent neural network based language model.,https://www.researchgate.net/publication/221489926_Recurrent_neural_network_based_language_model,5.67E+03,Highly cited,8.00E+07,6.1E+16,WSJ,6.40E+06,,1.60E+08,,,,,,,,Academia
,Recommendation,,Google Inc,Industry,"J Davidson, B Liebald, J Liu, P Nandy",26/09/2010,2010,The YouTube Video Recommendation System,https://dl.acm.org/doi/10.1145/1864708.1864770,1.07E+03,Highly cited,,,,1.00E+10,,,,,,,,,,Industry
,,,"University of Michigan, Stanford University",,"A Coates, A Ng, H Lee",11/04/2011,2011,An analysis of single-layer networks in unsupervised feature learning,http://proceedings.mlr.press/v15/coates11a.html,2.66E+03,Highly cited,,,,,,,,,,,,,,Industry
,,,University of Montreal,Academia,"X Glorot, A Bordes, Y Bengio",13/04/2011,2011,Deep sparse rectifier neural networks,http://machinelearning.wustl.edu/mlpapers/paper_files/AISTATS2011_GlorotBB11.pdf,7.22E+03,Highly cited,,,,,,,,,,,,,,Academia
,Language,,Harvard,Industry - Academia Collaboration,"JB Michel, YK Shen, AP Aiden, A Veres, MK Gray",16/12/2010,2010,Quantitative Analysis of Culture Using Millions of Digitized Books,https://science.sciencemag.org/content/331/6014/176,2.27E+03,Highly cited,,,,,,,,,,,,,,Industry
,Language,Part-of-speech tagging,"Carnegie Mellon University, Google Research",Industry - Academia Collaboration,"Dipanjan Das, Slav Petrov",06/2011,2011,Unsupervised Part-of-Speech Tagging with Bilingual Graph-Based Projections,https://aclanthology.org/P11-1061/,3.16E+02,,,,,,,,,,,,,,,Industry
Domain Adaptation,Vision,Object Recognition,"University of Maryland, College Park",Academia,"Raghuraman Gopalan, Ruonan Li, Rama Chellappa",06/11/2011,2011,Domain Adaptation for Object Recognition: An Unsupervised Approach,http://ftp.idiap.ch/pub/courses/EE-700/material/05-12-2012/2011_ICCV_DomainAdaptation.pdf,1.06E+03,Highly cited,1.53E+04,,Dataset introduced in 'Adapting Visual Category Models to New Domains',4.65E+03,,,,,,Supervised,,,,Academia
,Language,,"Brno University of Technology, Johns Hopkins University",Academia,"T. Mikolov, S. Kombrink, L. Burget, J. Cernock ˇ y, and S. Khudanpur",22/05/2011,2011,Extensions of recurrent neural network language model,https://ieeexplore.ieee.org/document/5947611,1.24E+03,Highly cited,,,Penn Tree Bank,6.98E+05,,,,,,,,,,Academia
,Language,,Stanford,Academia,"R. Socher, J. Pennington, E. H. Huang, A. Y. Ng, and C. D. Manning",07/2011,2011,Semi-supervised recursive autoencoders for predicting sentiment distributions,https://aclanthology.org/D11-1014/,1.48E+03,Highly cited,,,,,,,,,,,,,,Academia
,,,"Univeristy of California Berkley, Technion- Israel Institute of Technology, Google",Industry - Academia Collaboration,"J Duchi, E Hazan, Y Singer",03/10/2011,2011,Adaptive Subgradient Methods for Online Learning and Stochastic Optimization,https://dl.acm.org/doi/10.5555/1953048.2021068,8.81E+03,Highly cited,,,,,,,,,,,,,,Industry
NLP from scratch,Language,,"NEC Laboratories, Princeton",Industry - Academia Collaboration,"Ronan Collobert, J. Weston, L. Bottou, Michael Karlen, K. Kavukcuoglu, P. Kuksa",11/08/2011,2011,Natural Language Processing (Almost) from Scratch,https://www.jmlr.org/papers/volume12/collobert11a/collobert11a.pdf,7.64E+03,Highly cited,5.00E+06,,,8.52E+08,,,,,,,,,,Industry
,Games,,Collège de France,Academia,"G Synnaeve, P Bessiere",31/08/2011,2011,A Bayesian Model for RTS Units Control applied to StarCraft,https://ieeexplore.ieee.org/document/6032006,8.60E+01,,1.31E+04,,,,,,,,,,,,,Academia
,,,University of Wisconsin Madison,Academia,"F Niu, B Recht, C Ré, SJ Wright",11/11/2011,2011,HOGWILD!: A Lock-Free Approach to Parallelizing Stochastic Gradient Descent,https://arxiv.org/abs/1106.5730,2.12E+03,Highly cited,,,,,,,,,,,,,,Academia
,Language,,Google,Industry,"Yuri Lin, Jean-Baptiste Michel, Erez Lieberman Aiden, Jon Orwant, Will Brockman and Slav Petrov",07/2012,2012,Syntactic Annotations for the Google Books NGram Corpus,https://aclanthology.org/P12-3029/,4.89E+02,,,,,,,,,,,,,,,Industry
,,,"Karlsruhe Institute of Technology, Toyota Technological Institute at Chicago",Industry - Academia Collaboration,"A Geiger, P Lenz, R Urtasun",16/06/2012,2012,Are we ready for autonomous driving? The KITTI vision benchmark suite,http://www.cvlibs.net/publications/Geiger2012CVPR_slides.pdf,7.14E+03,Highly cited,,,,,,,,,,,,,,Industry
MV-RNN,Language,Text classification,Stanford,Academia,"R. Socher, B. Huval, C. D. Manning, and A. Y. Ng",12/07/2012,2012,Semantic compositionality through recursive matrix-vector spaces,https://www.aclweb.org/anthology/D12-1110/,1.46E+03,Highly cited,3.51E+06,,,,,,,,,,,,,Academia
